"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","22u","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C3,C7","10u","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C4,C8,C9,C10,C11,C15,C25","100n","~","Capacitor_SMD:C_0805_2012Metric","7",""
"C5","330n","~","Capacitor_SMD:C_0805_2012Metric","1",""
"C6,C13,C14,C21,C22,C26,C27,C28,C30,C31","1u","~","Capacitor_SMD:C_0805_2012Metric","10",""
"C12,C23,C32","10n","~","Capacitor_SMD:C_0805_2012Metric","3",""
"C16,C17","10p","~","Capacitor_SMD:C_0805_2012Metric","2",""
"C18,C19,C29","1n","~","Capacitor_SMD:C_0805_2012Metric","3",""
"C20,C24","150u","~","Capacitor_THT:CP_Radial_D4.0mm_P1.50mm","2",""
"D1","LED","~","LED_SMD:LED_0805_2012Metric","1",""
"FB1,FB2,FB3,FB4","120R","~","Inductor_SMD:L_0805_2012Metric","4",""
"H1,H2,H3,H4","MountingHole","~","MountingHole:MountingHole_2mm","4",""
"IC1","DAC80501ZDGST","http://www.ti.com/lit/ds/symlink/dac60501.pdf","SamacSys_Parts:SOP50P490X110-10N","1",""
"IC2","MAX660MX_NOPB","http://www.ti.com/lit/gpn/max660","SamacSys_Parts:SOIC127P600X175-8N","1",""
"IC4","MC33202DR2G","https://www.onsemi.com/pub/Collateral/MC33201-D.PDF","SamacSys_Parts:SOIC127P600X175-8N","1",""
"J1,J3,J5","Conn_01x04_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","3",""
"J2","USB_B_Micro","~","Connector_USB:USB_Micro-B_Wuerth_629105150521","1",""
"J4","Conn_01x06_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"R1,R5","1k5","~","Resistor_SMD:R_0805_2012Metric","2",""
"R2,R3,R4","10k","~","Resistor_SMD:R_0805_2012Metric","3",""
"R6,R7","3k3","~","Resistor_SMD:R_0805_2012Metric","2",""
"R8","1k6","~","Resistor_SMD:R_0805_2012Metric","1",""
"R9","1k","~","Resistor_SMD:R_0805_2012Metric","1",""
"SW1","SW_SPDT","~","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","1",""
"U1","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U2","STM32F401RCT6","https://www.st.com/resource/en/datasheet/stm32f401rc.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"Y1","Crystal","~","Crystal:Crystal_HC49-U_Vertical","1",""
