Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",163.909188,-74.809188,0.000000,top
"C2","22u","C_0805_2012Metric",158.759188,-84.559188,-90.000000,top
"C3","10u","C_0805_2012Metric",102.959188,-59.066188,180.000000,top
"C4","100n","C_0805_2012Metric",102.959188,-61.416188,180.000000,top
"C5","330n","C_0805_2012Metric",111.454188,-59.638188,90.000000,top
"C6","1u","C_0805_2012Metric",147.556045,-84.146688,0.000000,top
"C7","10u","C_0805_2012Metric",143.458188,-81.228188,90.000000,top
"C8","100n","C_0805_2012Metric",145.003988,-69.544188,-90.000000,top
"C9","100n","C_0805_2012Metric",134.609188,-81.809188,180.000000,top
"C10","100n","C_0805_2012Metric",128.703988,-68.956587,90.000000,top
"C11","100n","C_0805_2012Metric",140.303988,-82.156587,180.000000,top
"C12","10n","C_0805_2012Metric",133.152588,-65.356587,0.000000,top
"C13","1u","C_0805_2012Metric",133.159188,-61.859188,0.000000,top
"C14","1u","C_0805_2012Metric",136.259188,-60.959188,-90.000000,top
"C15","100n","C_0805_2012Metric",125.551188,-80.593188,-90.000000,top
"C16","10p","C_0805_2012Metric",125.709188,-70.309188,90.000000,top
"C17","10p","C_0805_2012Metric",125.709188,-74.009188,-90.000000,top
"C18","1n","C_0805_2012Metric",102.500000,-69.650000,-90.000000,top
"C19","1n","C_0805_2012Metric",97.950000,-76.950000,0.000000,top
"C20","150u","CP_Radial_D4.0mm_P1.50mm",174.309188,-62.331788,90.000000,top
"C21","1u","C_0805_2012Metric",117.114188,-75.304188,-90.000000,top
"C22","1u","C_0805_2012Metric",114.915188,-75.309188,-90.000000,top
"C23","10n","C_0805_2012Metric",112.415188,-75.309188,-90.000000,top
"C24","150u","CP_Radial_D4.0mm_P1.50mm",157.009188,-62.609188,90.000000,top
"C25","100n","C_0805_2012Metric",105.559188,-72.459188,0.000000,top
"C26","1u","C_0805_2012Metric",170.709188,-61.409188,90.000000,top
"C27","1u","C_0805_2012Metric",160.509188,-60.909188,-90.000000,top
"C28","1u","C_0805_2012Metric",147.556045,-86.209188,0.000000,top
"C29","1n","C_0805_2012Metric",100.400000,-71.650000,-90.000000,top
"C30","1u","C_0805_2012Metric",111.409188,-69.159188,-90.000000,top
"C31","1u","C_0805_2012Metric",109.253188,-69.133688,-90.000000,top
"C32","10n","C_0805_2012Metric",107.094188,-69.133688,-90.000000,top
"C33","1u","C_0805_2012Metric",162.751988,-66.877188,90.000000,top
"C35","10u","C_0805_2012Metric",93.750000,-71.950000,0.000000,top
"D1","LED","LED_0805_2012Metric",174.109188,-82.571688,-90.000000,top
"FB1","120R","L_0805_2012Metric",133.259188,-59.759188,0.000000,top
"FB2","120R","L_0805_2012Metric",115.971188,-72.576188,0.000000,top
"FB3","120R","L_0805_2012Metric",110.269188,-66.339688,0.000000,top
"FB4","120R","L_0805_2012Metric",144.889045,-85.193188,90.000000,top
"IC1","DAC80501ZDGST","SOP50P490X110-10N",109.295188,-63.309188,0.000000,top
"IC2","MAX660MX_NOPB","SOIC127P600X175-8N",165.468188,-62.204188,180.000000,top
"IC4","MC33202DR2G","SOIC127P600X175-8N",103.473188,-76.409188,180.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",164.149188,-93.039188,-90.000000,top
"J2","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",173.329188,-71.309188,90.000000,top
"J3","Conn_01x10_Pin","PinSocket_1x10_P2.54mm_Vertical",142.881988,-100.671000,-90.000000,top
"J4","Conn_01x06_Pin","PinHeader_1x06_P2.54mm_Vertical",144.809188,-52.409188,-90.000000,top
"J5","Conn_01x10_Pin","PinSocket_1x10_P2.54mm_Vertical",142.883988,-104.331000,-90.000000,top
"J6","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",129.604788,-89.137988,90.000000,top
"J7","Conn_01x10_Pin","PinSocket_1x10_P2.54mm_Vertical",142.885000,-108.000000,-90.000000,top
"J8","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",122.560000,-96.975000,90.000000,top
"R1","1k5","R_0805_2012Metric",174.129188,-78.771688,90.000000,top
"R2","10k","R_0805_2012Metric",139.394188,-62.813188,-90.000000,top
"R3","10k","R_0805_2012Metric",126.809188,-56.821688,-90.000000,top
"R4","10k","R_0805_2012Metric",99.100000,-65.200000,-90.000000,top
"R5","1k5","R_0805_2012Metric",153.109188,-69.409188,-90.000000,top
"R6","10k","R_0805_2012Metric",94.550000,-74.750000,90.000000,top
"R7","5k","R_0805_2012Metric",97.250000,-71.950000,0.000000,top
"R8","1k","R_0805_2012Metric",97.950000,-74.500000,0.000000,top
"R9","1k5","R_0805_2012Metric",114.248188,-61.797188,180.000000,top
"R10","1k","R_0805_2012Metric",114.259188,-81.059188,0.000000,top
"R11","1k","R_0805_2012Metric",114.259188,-83.109188,180.000000,top
"R12","10M","R_0805_2012Metric",109.059188,-76.009188,0.000000,top
"R13","10M","R_0805_2012Metric",109.009188,-78.059188,0.000000,top
"R14","10M","R_0805_2012Metric",106.209188,-80.209188,180.000000,top
"R15","10M","R_0805_2012Metric",103.509188,-80.959188,-90.000000,top
"SW1","SW_SPDT","SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm",124.269188,-52.409188,180.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",163.829188,-80.434188,-90.000000,top
"U2","STM32F401RCT6","LQFP-64_10x10mm_P0.5mm",136.752588,-73.744188,0.000000,top
"Y1","Crystal","Crystal_HC49-U_Vertical",121.609188,-72.109188,-90.000000,top
